,recom,times
0,-1.0,16
1,-2.05,33
2,-2.41,42
3,-0.6,19
4,-0.88,26
5,-1.0,13
6,-1.0,5
7,0.14,22
8,-0.6,10
9,-3.16,43
10,-1.2,36
11,-0.6,14
12,-1.0,17
13,-0.46,42
14,-1.0,17
15,-2.32,51
16,-7.53,61
17,2.32,26
18,-1.0,5
19,-16.9,84
20,-1.0,3
21,-1.0,7
22,-0.01,25
23,-0.5,34
24,-0.6,15
25,0.88,41
26,1.75,32
27,-0.6,8
28,-1.12,35
29,-0.6,12
30,-6.09,63
31,-1.37,39
32,-1.0,2
33,-1.0,18
34,-0.2,13
35,1.66,33
36,-1.0,2
37,-4.0,57
38,0.39,42
39,-0.6,11
40,-0.5,37
41,-1.59,51
42,2.36,30
43,-0.3,23
44,2.56,28
45,0.71,37
46,2.25,32
47,-0.39,44
48,2.36,31
49,-3.01,47
50,-0.21,28
51,-0.6,6
52,-0.95,46
53,0.54,42
54,1.92,26
55,-0.2,15
56,2.29,31
57,1.88,34
58,-0.25,28
59,-0.6,10
60,1.1,38
61,0.58,29
62,1.45,37
63,-1.0,5
64,-0.8,36
65,0.13,29
66,2.55,29
67,2.88,24
68,-2.76,54
69,0.83,36
70,2.67,27
71,2.2,32
72,1.88,35
73,-0.6,11
74,-0.6,9
75,0.73,41
76,2.27,32
77,2.37,31
78,-2.38,54
79,0.2,16
80,2.44,30
81,-1.0,2
82,2.54,22
83,1.96,33
84,2.92,23
85,-0.0,42
86,1.77,28
87,2.47,30
88,1.9,34
89,2.6,18
90,2.74,26
91,0.84,41
92,-0.6,13
93,2.45,24
94,1.45,37
95,1.64,36
96,2.57,21
97,2.88,24
98,-2.63,44
99,2.27,31
100,-0.92,48
101,2.16,33
102,1.16,40
103,2.97,21
104,2.57,29
105,2.07,33
106,-1.0,3
107,2.44,30
108,2.87,24
109,-0.7,48
110,2.97,21
111,2.46,30
112,1.23,38
113,-1.21,49
114,-0.07,45
115,2.92,23
116,1.56,36
117,2.73,27
118,-0.2,12
119,2.39,31
120,1.69,37
121,2.04,34
122,2.97,21
123,-1.0,2
124,2.92,23
125,2.94,22
126,1.07,39
127,2.71,27
128,2.65,28
129,2.25,32
130,2.95,22
131,1.79,36
132,0.57,21
133,0.2,17
134,2.82,25
135,2.95,22
136,2.76,26
137,0.78,40
138,0.2,18
139,2.94,22
140,2.57,28
141,2.88,24
142,2.5,30
143,2.76,26
144,2.75,26
145,2.21,32
146,2.32,32
147,-1.0,12
148,2.75,26
149,2.56,29
150,2.19,33
151,2.91,23
152,2.99,20
153,2.53,29
154,2.35,31
155,2.97,21
156,2.76,26
157,2.95,22
158,2.91,23
159,2.61,28
160,-1.0,3
161,2.97,21
162,0.27,44
163,2.6,18
164,2.92,23
165,2.52,23
166,2.69,27
167,2.79,25
168,2.71,27
169,2.99,20
170,-0.5,47
171,3.0,18
172,2.88,24
173,2.87,24
174,2.82,25
175,2.64,27
176,0.46,24
177,2.97,21
178,2.17,32
179,2.97,21
180,2.79,26
181,2.6,16
182,2.99,20
183,2.84,25
184,2.63,28
185,1.0,18
186,2.82,25
187,2.94,22
188,1.81,35
189,2.94,22
190,2.15,33
191,2.6,19
192,2.97,21
193,2.35,31
194,-4.68,60
195,-2.94,56
196,2.82,25
197,2.91,23
198,-0.07,27
199,2.97,21
200,2.94,22
201,2.38,31
202,2.88,24
203,2.94,22
204,2.74,26
205,2.79,26
206,3.0,19
207,3.0,19
208,2.97,21
209,1.82,35
210,2.48,30
211,2.87,24
212,3.0,18
213,2.95,22
214,3.0,18
215,3.0,19
216,2.66,28
217,2.97,21
218,2.95,22
219,2.94,22
220,3.0,18
221,2.76,26
222,2.99,20
223,3.0,19
224,2.9,23
225,2.97,21
226,2.86,24
227,2.95,22
228,2.9,23
229,2.95,22
230,2.99,20
231,2.97,21
232,2.92,23
233,2.6,17
234,2.99,20
235,2.97,21
236,3.0,18
237,3.0,18
238,3.0,19
239,2.99,20
240,2.73,26
241,3.0,19
242,2.83,25
243,2.87,24
244,2.99,20
245,2.73,27
246,2.97,21
247,2.87,24
248,2.97,21
249,-1.0,4
250,2.95,22
251,2.73,27
252,2.87,24
253,2.6,17
254,2.95,22
255,3.0,18
256,3.0,19
257,2.59,20
258,2.99,20
259,3.0,19
260,2.24,32
261,3.0,19
262,2.95,22
263,2.88,24
264,3.0,18
265,2.52,29
266,0.35,45
267,2.94,22
268,3.0,18
269,3.0,18
270,3.0,19
271,2.95,22
272,2.97,21
273,2.99,20
274,2.97,21
275,3.0,17
276,3.0,19
277,3.0,17
278,2.64,28
279,3.0,18
280,2.97,21
281,-108.78,169
282,3.0,18
283,2.97,21
284,2.97,21
285,3.0,17
286,2.97,21
287,2.84,25
288,3.0,19
289,2.77,26
290,2.9,23
291,2.9,23
292,2.97,21
293,3.0,18
294,2.57,21
295,3.0,19
296,3.0,19
297,-32.89,107
298,2.99,20
299,2.95,22
300,2.6,17
