,recom,times
0,-1.0,13
1,-3.71,45
2,-0.61,20
3,-1.0,15
4,-1.05,28
5,-0.95,31
6,-0.6,12
7,-1.0,7
8,-1.0,14
9,-1.0,8
10,-14.1,74
11,-0.9,31
12,-11.58,69
13,-6.47,64
14,-0.6,17
15,-6.18,55
16,-0.63,21
17,-0.6,14
18,-1.0,9
19,1.42,34
20,-0.2,17
21,-1.49,38
22,2.04,33
23,-3.49,54
24,-0.2,15
25,0.64,39
26,0.08,24
27,-7.45,61
28,0.08,45
29,-0.72,47
30,1.05,39
31,0.2,15
32,-5.82,55
33,1.57,34
34,-0.2,16
35,-0.4,25
36,-0.83,30
37,0.22,44
38,-2.41,51
39,-1.86,40
40,0.18,44
41,0.06,45
42,-3.33,54
43,-4.37,51
44,-0.6,10
45,-0.6,11
46,-0.36,33
47,-0.2,12
48,-0.6,10
49,0.75,41
50,1.84,32
51,1.74,35
52,0.78,41
53,-0.6,9
54,-0.35,24
55,1.6,37
56,-2.69,54
57,-1.0,3
58,0.37,43
59,1.13,39
60,2.57,29
61,0.1,42
62,-0.23,21
63,-0.23,21
64,2.36,26
65,0.35,43
66,-0.6,9
67,2.08,29
68,0.17,21
69,-1.0,9
70,-1.0,4
71,2.53,29
72,1.28,38
73,-0.87,48
74,-0.6,18
75,-0.48,34
76,2.46,30
77,1.9,34
78,-2.45,50
79,2.7,27
80,2.78,26
81,1.77,35
82,0.25,42
83,-1.0,5
84,1.91,35
85,2.4,31
86,1.91,34
87,0.63,42
88,2.27,32
89,-0.66,48
90,2.43,30
91,2.34,26
92,-1.0,5
93,2.17,21
94,2.53,29
95,2.6,28
96,1.79,35
97,2.53,29
98,2.76,26
99,0.2,19
100,1.91,31
101,0.1,23
102,2.88,24
103,1.65,37
104,2.27,31
105,2.31,31
106,2.61,28
107,2.81,25
108,1.15,37
109,2.79,25
110,2.78,26
111,2.41,31
112,2.47,24
113,-1.0,11
114,0.17,21
115,0.6,40
116,0.0,45
117,-0.89,48
118,0.36,42
119,2.22,28
120,2.95,22
121,2.97,21
122,2.12,23
123,2.91,23
124,1.2,39
125,1.28,39
126,2.9,23
127,1.83,36
128,-1.0,2
129,2.69,27
130,2.17,21
131,0.69,42
132,2.53,29
133,2.6,18
134,2.54,22
135,2.83,25
136,2.82,25
137,2.24,32
138,2.88,24
139,2.19,33
140,-5.61,62
141,2.94,22
142,1.49,36
143,2.97,21
144,3.0,18
145,2.82,25
146,2.92,23
147,2.55,29
148,2.99,20
149,2.77,26
150,2.97,21
151,-0.46,45
152,2.75,26
153,0.92,39
154,1.98,34
155,2.6,18
156,3.0,19
157,2.71,27
158,2.6,29
159,0.78,41
160,2.94,22
161,2.26,32
162,1.8,36
163,1.93,34
164,2.66,27
165,1.19,39
166,1.8,15
167,2.97,21
168,2.81,25
169,2.85,24
170,3.0,17
171,2.46,30
172,2.57,21
173,2.97,21
174,2.54,29
175,2.38,31
176,2.88,24
177,2.64,27
178,2.97,21
179,3.0,19
180,2.97,21
181,0.15,45
182,2.91,23
183,2.69,27
184,2.83,25
185,1.13,39
186,2.87,24
187,2.48,24
188,2.97,21
189,2.92,23
190,3.0,19
191,2.92,23
192,2.94,22
193,2.83,25
194,2.95,22
195,2.75,26
196,2.97,21
197,2.99,20
198,2.9,23
199,2.5,23
200,2.94,22
201,3.0,18
202,2.99,20
203,2.95,22
204,3.0,19
205,2.95,22
206,2.94,22
207,2.92,23
208,2.88,24
209,2.91,23
210,2.76,26
211,2.95,22
212,2.91,23
213,2.99,20
214,2.99,20
215,2.7,27
216,2.97,21
217,2.6,17
218,0.57,43
219,2.99,20
220,2.94,22
221,1.75,33
222,2.99,20
223,2.65,28
224,2.92,23
225,3.0,19
226,3.0,19
227,2.83,25
228,3.0,18
229,2.99,20
230,3.0,19
231,-0.2,8
232,2.99,20
233,3.0,19
234,2.95,22
235,3.0,19
236,3.0,19
237,2.94,22
238,2.97,21
239,2.97,21
240,1.79,36
241,3.0,19
242,3.0,19
243,2.97,21
244,2.95,22
245,2.97,21
246,2.67,28
247,2.97,21
248,-0.22,47
249,0.18,45
250,2.97,21
251,-0.8,48
252,3.0,19
253,2.97,21
254,3.0,18
255,3.0,18
256,2.79,26
257,2.36,31
258,2.94,22
259,2.92,23
260,2.97,21
261,2.2,13
262,3.0,18
263,2.76,26
264,2.91,23
265,2.65,28
266,2.87,24
267,2.88,24
268,2.83,25
269,2.95,22
270,2.16,33
271,2.79,25
272,3.0,18
273,3.0,19
274,2.6,15
275,2.97,21
276,2.88,24
277,2.97,21
278,2.95,22
279,2.97,21
280,2.92,23
281,3.0,19
282,2.88,24
283,2.97,21
284,2.97,21
285,3.0,19
286,1.94,31
287,2.99,20
288,2.97,21
289,2.97,21
290,2.63,28
291,1.64,37
292,1.39,38
293,2.53,29
294,2.97,21
295,3.0,18
296,2.99,20
297,3.0,19
298,3.0,19
299,2.97,21
300,2.56,29
