,recom,times
0,-1.0,4
1,-1.0,5
2,-1.26,30
3,-0.6,18
4,-2.31,37
5,-0.6,10
6,-7.08,58
7,-3.42,46
8,-1.0,6
9,-1.0,6
10,-1.0,15
11,-1.0,14
12,-0.66,22
13,-0.6,15
14,-0.68,29
15,-0.6,15
16,-0.6,15
17,-1.0,7
18,-1.03,21
19,-0.75,29
20,-1.0,7
21,-1.0,7
22,-0.66,22
23,-1.03,21
24,-0.26,22
25,-1.0,3
26,-2.02,38
27,-1.99,52
28,-0.07,45
29,-1.0,7
30,-0.6,12
31,-1.33,37
32,-0.6,7
33,-0.9,48
34,-0.21,35
35,-1.0,9
36,-1.0,6
37,-0.6,15
38,-0.09,43
39,0.05,29
40,-1.0,4
41,-2.97,45
42,1.06,39
43,-0.2,19
44,-0.6,14
45,0.2,18
46,-0.66,22
47,-1.03,39
48,-3.53,55
49,1.7,36
50,-1.0,5
51,-1.38,31
52,-1.0,8
53,-1.0,5
54,2.35,26
55,1.26,39
56,0.2,43
57,-1.0,9
58,-0.22,32
59,-0.26,32
60,0.41,43
61,-0.6,6
62,-0.14,45
63,1.26,38
64,-1.0,4
65,-1.0,3
66,2.03,25
67,2.26,31
68,0.05,24
69,0.29,43
70,1.04,34
71,-0.6,10
72,-0.43,30
73,2.21,28
74,-0.6,5
75,-1.13,38
76,0.58,42
77,2.0,30
78,-1.0,3
79,-0.6,9
80,1.3,38
81,-0.61,20
82,0.95,40
83,1.73,36
84,2.37,31
85,2.17,21
86,2.48,30
87,-4.83,59
88,1.64,37
89,-0.6,7
90,2.31,27
91,-2.74,47
92,-0.6,7
93,-0.2,10
94,2.51,23
95,1.49,34
96,0.24,28
97,0.7,40
98,2.17,21
99,0.77,41
100,0.87,40
101,2.23,31
102,1.78,36
103,2.48,30
104,2.24,27
105,1.76,36
106,2.83,25
107,0.43,42
108,2.85,24
109,2.64,28
110,2.75,26
111,2.52,23
112,2.41,31
113,1.64,36
114,2.97,21
115,2.37,30
116,1.52,37
117,-3.77,57
118,2.9,23
119,2.84,25
120,-21.88,92
121,2.44,25
122,2.77,26
123,2.74,26
124,2.82,25
125,1.13,38
126,2.97,21
127,2.95,22
128,2.05,34
129,1.88,35
130,2.56,29
131,-1.43,32
132,2.07,33
133,2.95,22
134,2.92,23
135,2.6,17
136,2.75,26
137,2.43,30
138,2.41,30
139,2.95,22
140,-3.45,57
141,2.7,27
142,2.88,24
143,2.88,24
144,2.88,24
145,2.59,29
146,1.73,33
147,-5.81,62
148,2.6,28
149,2.57,29
150,2.7,27
151,2.5,29
152,2.99,20
153,2.92,23
154,-1.0,7
155,-2.79,56
156,-2.09,52
157,2.84,25
158,-2.27,53
159,2.82,25
160,2.83,25
161,2.7,27
162,2.88,24
163,2.24,28
164,2.94,22
165,2.02,35
166,2.05,34
167,2.92,23
168,2.6,19
169,-0.24,47
170,2.99,20
171,3.0,18
172,2.76,26
173,2.94,22
174,2.95,22
175,2.6,19
176,-1.71,51
177,-1.0,6
178,1.66,37
179,2.65,28
180,2.87,24
181,1.65,37
182,0.43,43
183,2.95,22
184,2.59,20
185,2.94,22
186,2.11,32
187,2.9,23
188,2.94,22
189,2.81,25
190,2.86,24
191,2.72,27
192,2.92,23
193,2.94,22
194,2.97,21
195,3.0,19
196,1.92,34
197,0.84,40
198,2.64,28
199,2.92,23
200,2.97,21
201,2.92,23
202,2.84,25
203,-2.8,56
204,1.61,36
205,2.99,20
206,-0.12,47
207,2.97,21
208,1.15,33
209,2.64,28
210,3.0,18
211,2.99,20
212,3.0,19
213,2.59,20
214,-0.08,45
215,2.83,25
216,1.34,39
217,2.99,20
218,3.0,19
219,2.97,21
220,2.99,20
221,2.99,20
222,2.82,25
223,2.34,30
224,2.64,28
225,2.73,27
226,2.94,22
227,2.97,21
228,2.97,21
229,2.43,30
230,2.37,31
231,2.31,32
232,2.97,21
233,2.99,20
234,2.57,21
235,2.97,21
236,3.0,19
237,2.55,28
238,2.05,29
239,2.75,26
240,2.83,25
241,3.0,19
242,2.97,21
243,2.79,26
244,3.0,19
245,2.99,20
246,2.99,20
247,3.0,18
248,2.92,23
249,2.01,35
250,-1.63,49
251,2.99,20
252,3.0,19
253,3.0,19
254,2.91,23
255,3.0,18
256,0.88,40
257,2.95,22
258,3.0,19
259,2.99,20
260,3.0,19
261,2.97,21
262,-0.32,47
263,2.99,20
264,2.99,20
265,2.99,20
266,2.64,28
267,2.79,26
268,2.1,34
269,3.0,18
270,0.2,12
271,2.99,20
272,3.0,19
273,2.97,21
274,2.75,26
275,2.95,22
276,2.92,23
277,2.9,23
278,1.23,38
279,-5.0,58
280,2.97,21
281,2.99,20
282,2.81,25
283,2.97,21
284,2.97,21
285,-0.69,49
286,2.84,25
287,2.91,23
288,2.92,23
289,2.97,21
290,2.36,31
291,3.0,19
292,2.92,23
293,1.69,36
294,2.87,24
295,2.79,26
296,2.92,23
297,2.97,21
298,1.02,40
299,2.97,21
300,2.88,24
