,recom,times
0,0.0,0
1,-1.0,14
2,-1.0,13
3,-0.88,26
4,-1.0,7
5,-1.0,8
6,-1.0,18
7,-1.0,9
8,-1.0,9
9,-0.6,11
10,-0.63,21
11,-1.0,5
12,-1.0,18
13,-0.6,18
14,-0.6,14
15,-3.01,45
16,-1.0,5
17,-1.0,3
18,-0.6,15
19,-1.0,5
20,-1.0,6
21,-0.81,25
22,-1.83,40
23,-6.07,57
24,-0.81,25
25,-11.46,74
26,-5.18,54
27,-1.0,10
28,-1.0,8
29,-0.45,26
30,-1.0,5
31,-1.6,50
32,-1.0,5
33,-1.0,9
34,-2.17,41
35,-3.62,47
36,-0.6,17
37,-2.36,40
38,-1.01,49
39,-8.96,68
40,-1.0,17
41,-0.2,19
42,-1.0,4
43,-1.0,8
44,-4.61,60
45,-1.0,10
46,-4.01,48
47,0.29,27
48,0.47,42
49,-1.0,6
50,-1.0,6
51,0.02,25
52,-1.15,48
53,-0.6,8
54,-3.23,54
55,-0.31,33
56,-1.0,9
57,-1.0,7
58,1.66,33
59,-1.38,31
60,-0.6,10
61,-0.6,11
62,-0.6,11
63,0.27,43
64,-1.0,13
65,-0.2,17
66,-3.35,55
67,1.87,34
68,-1.0,8
69,-4.66,58
70,-1.0,5
71,0.52,42
72,0.87,40
73,-0.85,33
74,-1.0,5
75,-0.2,10
76,-1.0,3
77,-0.6,7
78,-3.25,55
79,-0.2,12
80,-1.02,47
81,1.98,31
82,1.97,34
83,2.78,26
84,-2.33,43
85,-0.33,24
86,0.93,40
87,-1.66,51
88,2.52,29
89,-0.46,34
90,2.16,33
91,1.02,39
92,-1.0,2
93,0.53,42
94,1.31,38
95,1.74,35
96,2.72,26
97,2.62,28
98,1.49,37
99,0.2,16
100,2.88,24
101,0.77,41
102,-1.0,48
103,-0.56,27
104,-2.12,52
105,2.81,25
106,2.78,26
107,0.9,40
108,2.02,34
109,-1.82,50
110,2.41,31
111,2.29,31
112,-3.27,56
113,2.79,26
114,-2.17,51
115,2.87,24
116,-3.13,56
117,-0.23,21
118,2.42,30
119,0.09,43
120,-0.05,26
121,2.83,25
122,1.8,13
123,1.38,38
124,-0.2,15
125,2.83,25
126,-1.0,5
127,1.48,34
128,2.59,20
129,2.62,28
130,2.92,23
131,2.46,24
132,2.69,27
133,2.99,20
134,-0.6,11
135,0.35,43
136,2.76,26
137,-0.6,7
138,2.67,27
139,2.88,24
140,0.52,29
141,-0.35,29
142,1.37,39
143,-0.48,45
144,2.72,27
145,-7.61,67
146,2.27,27
147,2.42,25
148,2.58,28
149,-1.22,49
150,2.97,21
151,2.91,23
152,2.26,32
153,2.17,32
154,2.6,28
155,2.92,23
156,2.31,31
157,-0.18,45
158,2.88,24
159,1.23,38
160,2.5,30
161,1.24,38
162,-0.6,48
163,2.86,24
164,-1.68,50
165,2.91,23
166,1.97,34
167,2.87,24
168,1.52,37
169,2.97,21
170,2.52,29
171,-3.58,58
172,2.88,24
173,2.95,22
174,1.94,35
175,2.92,23
176,2.14,29
177,3.0,19
178,2.54,22
179,2.69,27
180,2.92,23
181,2.24,31
182,-12.88,79
183,2.91,23
184,2.75,26
185,2.62,28
186,1.38,37
187,1.37,37
188,-0.2,13
189,0.55,42
190,1.33,37
191,-0.84,47
192,2.45,30
193,2.88,24
194,2.75,26
195,2.59,29
196,2.7,27
197,2.92,23
198,1.2,40
199,2.79,26
200,-0.14,46
201,2.64,28
202,2.62,28
203,-0.6,12
204,0.73,43
205,2.99,20
206,2.71,27
207,2.52,23
208,2.95,22
209,2.91,23
210,2.97,21
211,0.37,44
212,2.95,22
213,2.69,27
214,2.8,25
215,2.88,24
216,2.3,31
217,1.34,39
218,2.2,12
219,1.11,40
220,2.62,28
221,2.83,25
222,0.78,41
223,2.9,23
224,2.65,28
225,2.73,27
226,2.66,28
227,1.64,37
228,2.99,20
229,2.99,20
230,2.95,22
231,0.71,41
232,2.99,20
233,2.91,23
234,2.92,23
235,0.4,44
236,2.97,21
237,2.88,24
238,2.92,23
239,2.45,30
240,2.54,29
241,-2.77,56
242,2.91,23
243,2.79,26
244,-3.12,56
245,2.57,21
246,1.94,34
247,2.83,25
248,2.34,31
249,1.94,34
250,1.04,37
251,3.0,19
252,3.0,18
253,2.97,21
254,1.39,38
255,1.92,35
256,2.23,33
257,1.43,39
258,2.95,22
259,1.39,39
260,2.6,19
261,-3.21,56
262,2.6,19
263,2.52,23
264,2.64,28
265,-0.97,50
266,3.0,19
267,2.99,20
268,2.91,23
269,2.63,28
270,0.41,42
271,3.0,19
272,2.2,18
273,2.21,28
274,2.6,29
275,2.73,26
276,-6.06,62
277,2.92,23
278,2.84,25
279,2.99,20
280,2.97,21
281,2.97,21
282,2.6,29
283,-4.63,60
284,2.52,30
285,2.99,20
286,-0.5,38
287,-29.84,99
288,2.97,21
289,2.97,21
290,2.99,20
291,2.57,29
292,2.99,20
293,2.99,20
294,3.0,19
295,2.71,27
296,2.87,24
297,3.0,18
298,2.99,20
299,-2.68,54
300,3.0,19
