,recom,times
0,0.03,20
1,-1.42,42
2,-0.14,37
3,-0.76,17
4,-1.09,9
5,-0.75,57
6,0.29,35
7,-1.09,9
8,-0.43,25
9,-0.08,31
10,-1.13,13
11,-0.74,15
12,-0.17,40
13,-1.04,4
14,-1.03,3
15,2.23,41
16,-1.07,7
17,-1.05,5
18,-0.14,37
19,-0.73,14
20,-0.37,19
21,-0.7,11
22,-1.1,10
23,-1.14,14
24,2.55,50
25,1.94,29
26,-1.1,10
27,-1.07,7
28,-1.12,12
29,-0.42,24
30,-0.31,54
31,-1.14,14
32,2.33,72
33,2.66,39
34,2.59,46
35,-0.4,22
36,2.61,44
37,2.35,29
38,-1.14,14
39,-0.84,25
40,2.7,35
41,-0.66,7
42,-0.49,31
43,2.68,37
44,-0.67,8
45,2.8,25
46,2.25,39
47,2.5,55
48,2.19,45
49,2.53,52
50,2.68,37
51,-0.76,17
52,-0.69,10
53,2.35,29
54,-0.0,23
55,-1.05,5
56,-1.13,13
57,2.22,42
58,2.79,26
59,2.68,37
60,-0.52,34
61,2.69,36
62,2.73,32
63,2.3,75
64,2.38,26
65,-1.05,5
66,2.71,34
67,2.07,57
68,2.42,63
69,2.61,44
70,2.07,57
71,2.77,28
72,-1.17,17
73,2.76,29
74,-0.29,11
75,-0.33,15
76,-0.65,6
77,0.29,35
78,2.71,34
79,2.77,28
80,2.81,24
81,2.66,39
82,2.67,38
83,2.47,58
84,2.66,39
85,2.68,37
86,2.75,30
87,2.76,29
88,-0.98,39
89,-0.34,16
90,2.68,37
91,2.81,24
92,2.72,33
93,2.72,33
94,2.3,34
95,2.64,41
96,0.55,50
97,0.38,26
98,2.72,33
99,2.68,37
100,2.75,30
101,2.58,47
102,2.57,48
103,2.76,29
104,2.81,24
105,2.63,42
106,2.69,36
107,2.81,24
108,2.76,29
109,2.64,41
110,2.23,41
111,2.76,29
112,2.83,22
113,2.64,41
114,2.74,31
115,2.79,26
116,-1.1,10
117,2.35,29
118,2.77,28
119,2.45,19
120,2.81,24
121,-0.47,29
122,2.77,28
123,2.8,25
124,2.8,25
125,2.73,32
126,2.77,28
127,2.83,22
128,2.69,36
129,2.77,28
130,2.8,25
131,2.77,28
132,2.7,35
133,2.81,24
134,-0.31,13
135,2.74,31
136,-0.88,29
137,2.62,43
138,-1.03,3
139,2.65,40
140,2.81,24
141,2.69,36
142,2.35,29
143,2.81,24
144,2.82,23
145,2.59,46
146,2.72,33
147,2.8,25
148,2.68,37
149,2.65,40
150,2.78,27
151,2.78,27
152,2.69,36
153,2.82,23
154,2.74,31
155,1.71,11
156,2.82,23
157,2.75,30
158,2.13,92
159,2.68,37
160,2.5,55
161,2.77,28
162,2.69,36
163,2.86,19
164,1.77,46
165,2.8,25
166,2.81,24
167,2.72,33
168,2.8,25
169,2.8,25
170,2.79,26
171,2.73,32
172,2.35,29
173,2.83,22
174,2.81,24
175,2.82,23
176,2.8,25
177,2.58,47
178,2.76,29
179,2.79,26
180,-1.03,3
181,2.62,43
182,2.78,27
183,2.71,34
184,2.75,30
185,2.74,31
186,2.83,22
187,2.84,21
188,2.76,29
189,2.64,41
190,2.85,20
191,2.44,20
192,2.72,33
193,2.79,26
194,-0.03,26
195,2.73,32
196,2.73,32
197,2.81,24
198,2.85,20
199,2.75,30
200,2.72,33
201,2.8,25
202,-0.32,14
203,2.45,19
204,2.86,19
205,2.85,20
206,2.65,40
207,2.79,26
208,2.83,22
209,2.86,19
210,2.46,59
211,2.75,30
212,2.44,61
213,2.77,28
214,2.84,21
215,2.74,31
216,2.46,18
217,2.65,40
218,2.84,21
219,1.71,93
220,2.84,21
221,2.82,23
222,2.88,17
223,2.72,33
224,2.76,29
225,2.86,19
226,2.72,33
227,2.84,21
228,2.76,29
229,2.77,28
230,2.86,19
231,2.8,25
232,2.83,22
233,1.86,37
234,1.98,66
235,2.78,27
236,2.49,56
237,2.72,33
238,2.85,20
239,2.79,26
240,2.73,32
241,2.82,23
242,2.4,65
243,2.05,100
244,2.79,26
245,2.84,21
246,2.84,21
247,2.76,29
248,2.8,25
249,2.85,20
250,2.48,16
251,2.84,21
252,2.78,27
253,2.32,73
254,2.77,28
255,2.09,14
256,2.67,38
257,2.84,21
258,2.86,19
259,2.81,24
260,2.82,23
261,2.78,27
262,2.84,21
263,2.47,17
264,2.86,19
265,2.47,17
266,2.69,36
267,2.75,30
268,1.18,45
269,2.79,26
270,2.84,21
271,2.75,30
272,2.68,37
273,2.71,34
274,2.82,23
275,2.8,25
276,2.57,48
277,2.83,22
278,2.78,27
279,2.81,24
280,2.76,29
281,2.63,42
282,2.81,24
283,2.45,60
284,2.85,20
285,2.79,26
286,2.29,35
287,2.87,18
288,2.79,26
289,2.72,33
290,2.84,21
291,2.85,20
292,2.84,21
293,2.78,27
294,2.67,38
295,2.39,25
296,2.82,23
297,2.81,24
298,2.86,19
299,2.81,24
300,2.41,23
