,recom,times
0,-0.62,44
1,-0.99,40
2,-0.68,9
3,-0.7,11
4,-0.57,39
5,0.52,53
6,-1.07,7
7,-0.35,17
8,-0.51,33
9,-0.74,15
10,-1.05,5
11,-0.81,22
12,-0.39,21
13,-1.05,5
14,-0.1,33
15,-0.38,20
16,-1.06,6
17,2.67,38
18,-0.4,22
19,-1.03,3
20,-0.24,47
21,2.55,50
22,-0.74,15
23,2.71,34
24,-0.69,10
25,-0.13,36
26,2.47,58
27,0.55,50
28,-0.32,14
29,-0.38,20
30,-0.73,14
31,-0.4,22
32,-0.74,15
33,2.0,23
34,-0.79,20
35,2.62,43
36,-0.76,17
37,-0.1,33
38,2.25,39
39,0.59,46
40,2.58,47
41,2.75,30
42,-1.03,3
43,2.66,39
44,2.23,41
45,2.79,26
46,-0.34,16
47,-1.08,8
48,2.28,36
49,-0.73,14
50,2.4,24
51,-0.76,17
52,2.44,61
53,-0.39,21
54,-0.73,14
55,2.68,37
56,-0.45,27
57,-1.2,20
58,2.61,44
59,2.64,41
60,2.81,24
61,2.63,42
62,-0.34,16
63,2.66,39
64,2.66,39
65,2.41,64
66,0.39,25
67,2.66,39
68,2.63,42
69,2.66,39
70,-0.79,20
71,-0.44,26
72,2.74,31
73,-1.24,24
74,2.65,40
75,-1.11,11
76,2.75,30
77,2.75,30
78,2.83,22
79,2.66,39
80,2.74,31
81,2.71,34
82,-1.06,6
83,2.12,52
84,2.67,38
85,2.69,36
86,-0.13,36
87,2.39,66
88,2.86,19
89,2.73,32
90,2.53,52
91,2.84,21
92,2.71,34
93,2.77,28
94,2.68,37
95,2.86,19
96,-0.84,25
97,2.79,26
98,2.77,28
99,2.69,36
100,2.45,19
101,2.78,27
102,2.41,23
103,0.05,18
104,1.91,32
105,1.95,28
106,2.86,19
107,2.8,25
108,2.7,35
109,2.76,29
110,2.81,24
111,2.73,32
112,-0.71,12
113,2.68,37
114,2.63,42
115,2.79,26
116,2.79,26
117,2.57,48
118,2.65,40
119,2.76,29
120,2.74,31
121,2.87,18
122,-1.39,39
123,2.73,32
124,2.7,35
125,-0.35,17
126,-0.65,6
127,2.83,22
128,2.84,21
129,0.04,19
130,-1.07,7
131,0.45,19
132,2.76,29
133,2.73,32
134,2.77,28
135,2.86,19
136,2.81,24
137,2.47,58
138,2.81,24
139,2.68,37
140,2.6,45
141,2.87,18
142,2.7,35
143,2.75,30
144,2.83,22
145,2.85,20
146,2.4,24
147,2.74,31
148,2.82,23
149,2.5,55
150,2.86,19
151,2.74,31
152,2.72,33
153,2.85,20
154,2.65,40
155,2.85,20
156,2.71,34
157,2.83,22
158,2.82,23
159,2.45,19
160,2.8,25
161,2.86,19
162,0.06,17
163,2.69,36
164,2.81,24
165,2.72,33
166,2.83,22
167,2.83,22
168,2.81,24
169,2.78,27
170,2.82,23
171,2.8,25
172,2.64,41
173,1.51,53
174,2.83,22
175,2.81,24
176,2.85,20
177,2.82,23
178,2.83,22
179,2.83,22
180,2.8,25
181,2.82,23
182,2.84,21
183,2.65,40
184,2.79,26
185,2.85,20
186,2.86,19
187,2.83,22
188,2.82,23
189,2.8,25
190,2.81,24
191,2.83,22
192,-1.04,4
193,2.56,49
194,2.84,21
195,2.85,20
196,2.85,20
197,2.82,23
198,2.41,23
199,2.87,18
200,2.82,23
201,2.83,22
202,2.73,32
203,2.08,15
204,2.74,31
205,2.81,24
206,2.82,23
207,-1.03,3
208,2.83,22
209,2.84,21
210,2.85,20
211,2.73,32
212,2.43,62
213,2.4,24
214,2.83,22
215,2.84,21
216,2.81,24
217,2.82,23
218,2.81,24
219,2.61,44
220,2.79,26
221,2.83,22
222,2.73,32
223,2.77,28
224,2.85,20
225,2.86,19
226,2.8,25
227,2.82,23
228,2.82,23
229,2.47,17
230,2.8,25
231,2.8,25
232,2.84,21
233,2.8,25
234,2.81,24
235,2.84,21
236,2.86,19
237,2.85,20
238,2.85,20
239,2.82,23
240,2.84,21
241,2.74,31
242,2.75,30
243,2.79,26
244,2.46,18
245,2.86,19
246,2.1,13
247,2.74,31
248,2.86,19
249,2.77,28
250,2.83,22
251,2.83,22
252,2.78,27
253,2.7,35
254,2.85,20
255,2.87,18
256,2.81,24
257,2.58,47
258,2.8,25
259,1.86,18
260,2.84,21
261,2.84,21
262,2.73,32
263,2.83,22
264,2.7,35
265,2.88,17
266,2.72,33
267,2.88,17
268,2.85,20
269,2.85,20
270,2.81,24
271,2.86,19
272,2.04,60
273,2.73,32
274,2.85,20
275,2.83,22
276,2.88,17
277,2.86,19
278,2.83,22
279,2.86,19
280,2.82,23
281,2.73,32
282,2.86,19
283,2.43,21
284,2.84,21
285,2.84,21
286,2.84,21
287,2.82,23
288,2.87,18
289,2.88,17
290,2.7,35
291,2.83,22
292,2.83,22
293,2.81,24
294,2.32,32
295,2.76,29
296,2.87,18
297,2.82,23
298,2.83,22
299,2.47,58
300,2.74,31
