,prom recom,prom time,Des Es
196,2.566,27.2,0.362681372
197,2.52,24.4,0.650777313
198,1.768,27.3,1.354669291
199,2.54,25.8,0.534789678
200,2.281,24.9,1.131218124
201,2.745,23.1,0.259882452
202,2.806,24.2,0.198673378
203,1.779,26.1,1.950899792
204,1.893,30.8,1.209187514
205,2.518,25.3,1.070148484
206,2.046,29.9,1.275549555
207,2.801,22.9,0.236945845
208,2.202,24,1.335338492
209,2.745,24.1,0.349324745
210,2.05,30.3,1.125670171
211,2.601,25.7,0.801740468
212,2.701,24.1,0.525916132
213,2.347,26.1,1.390787547
214,2.467,25.8,0.968412791
215,2.539,27.2,0.62631994
216,2.603,24.9,0.522537612
217,1.813,28.6,1.889503462
218,2.242,21.2,1.14134229
219,2.588,26.2,0.642872028
220,2.883,21.4,0.15195394
221,2.622,25.7,0.50771383
222,2.455,25.8,1.017286696
223,2.495,24.7,0.703534726
224,2.171,24.3,1.153982958
225,2.653,25.7,0.48513572
226,1.1,31.1,4.611526621
227,2.79,30.9,0.408819439
228,2.862,20.6,0.187900683
229,2.431,25.7,0.845714031
230,2.712,22.3,0.274865624
231,2.271,23.8,1.106038476
232,2.62,21.1,0.800638634
233,2.428,24.9,0.781775756
234,2.382,26,1.129462015
235,2.447,23.6,0.924085734
236,2.793,22.9,0.263398726
237,2.815,24.2,0.184405953
238,2.652,24.1,0.628451359
239,2.572,24.5,0.671710917
240,2.603,25,0.311557022
241,2.314,25,1.792677699
242,2.775,23.5,0.510691253
243,2.191,26.7,1.842464835
244,2.221,30,1.903239636
245,2.07,23.8,1.540988139
246,2.572,23.8,0.406497232
247,2.884,22.8,0.118621714
248,2.339,27.3,1.035625951
249,1.759,51.4,1.251625166
250,1.671,37.5,1.81500199
251,2.034,28.3,1.690898512
252,2.859,22.9,0.171752406
253,2.846,20.7,0.206408441
254,2.315,27.7,1.067606357
255,2.55,25.8,0.676592771
256,1.773,29.4,2.385875334
257,2.707,23.8,0.495469474
258,2.583,23.1,0.732924886
259,2.344,26,1.096612967
260,2.045,25.3,2.379590301
261,2.158,25.3,1.906793702
262,2.485,22.1,1.019675874
263,2.89,22.2,0.147422296
264,2.425,25.1,0.76282006
265,2.19,28,1.367966861
266,2.487,26.3,0.827419684
267,2.839,21.7,0.364583476
268,2.522,25.5,0.743367712
269,2.918,21.9,0.111634324
270,2.321,23.1,1.097425776
271,2.532,26,0.802188673
272,2.799,21,0.404267513
273,2.258,28.2,0.759923973
274,2.568,24.5,0.894461974
275,2.414,25.5,0.778191636
276,2.845,25.8,0.185247582
277,1.603,26.8,3.864419031
278,2.409,26,1.133778834
279,2.826,25.6,0.30409063
280,2.555,23.4,1.181310478
281,2.937,34.9,0.120926975
282,2.744,24.3,0.419661239
283,2.184,25.2,2.395589466
284,2.761,24,0.321608803
285,2.381,24.4,1.164096693
286,2.476,23.6,1.09668389
287,2.707,30.4,0.559345848
288,2.965,20.7,0.043269183
289,2.825,22.9,0.25932605
290,2.325,26.9,1.381924986
291,2.661,25.7,0.437885069
292,2.749,23.2,0.491854766
293,2.757,22.4,0.412096267
294,2.886,21.9,0.157494268
295,2.653,24.6,0.484379328
296,2.807,22.1,0.350239601
297,2.451,33.7,1.204311237
298,2.505,26.2,0.769664429
299,2.401,24.3,1.785450146
300,2.499,30.2,0.360723039
