,recom,times
0,0.0,0
1,-1.0,5
2,-0.54,34
3,-1.0,11
4,-1.0,2
5,-5.35,48
6,-1.05,28
7,-1.0,5
8,-5.78,57
9,-0.88,26
10,-1.0,11
11,-0.2,17
12,-9.42,71
13,-1.0,9
14,1.54,37
15,-1.56,33
16,1.18,39
17,-1.07,32
18,-1.05,38
19,-5.83,51
20,-0.91,34
21,-0.84,30
22,-1.0,11
23,-0.6,19
24,-1.03,21
25,-5.83,62
26,-1.0,7
27,1.98,34
28,-1.93,51
29,-11.46,74
30,-1.44,38
31,-2.59,53
32,-0.6,10
33,-1.0,4
34,-6.73,64
35,-1.05,28
36,0.13,44
37,-0.29,23
38,-4.02,58
39,-1.4,34
40,-2.44,53
41,-0.6,14
42,-0.88,31
43,-0.2,10
44,2.52,23
45,-1.0,2
46,-0.6,16
47,-0.2,13
48,1.66,35
49,-4.32,58
50,-1.56,38
51,2.3,31
52,-1.0,5
53,0.96,37
54,2.52,23
55,-0.58,47
56,-2.62,43
57,-3.92,56
58,2.72,27
59,1.13,39
60,1.15,39
61,1.86,35
62,1.94,34
63,0.34,31
64,2.16,32
65,1.94,31
66,-0.24,47
67,2.46,30
68,2.49,30
69,1.65,37
70,2.24,32
71,1.83,34
72,-0.62,44
73,-0.7,29
74,2.97,21
75,1.58,37
76,1.87,31
77,0.44,42
78,2.92,23
79,0.6,15
80,1.65,29
81,-0.86,47
82,-0.2,15
83,1.35,39
84,1.73,36
85,2.53,29
86,-1.0,13
87,1.17,36
88,2.09,32
89,-0.17,46
90,-0.03,44
91,2.31,31
92,1.47,37
93,-0.6,9
94,1.9,34
95,2.71,27
96,1.89,35
97,1.53,37
98,2.94,22
99,-1.0,2
100,2.6,19
101,2.87,24
102,2.41,31
103,2.51,29
104,2.32,26
105,0.63,43
106,2.13,33
107,-1.77,51
108,-0.32,45
109,2.2,16
110,0.86,40
111,1.66,36
112,2.27,32
113,2.8,25
114,2.71,27
115,1.04,40
116,2.47,24
117,2.88,24
118,-19.23,88
119,2.82,25
120,2.43,30
121,2.82,25
122,2.66,28
123,-0.6,10
124,3.0,19
125,2.94,22
126,1.46,38
127,-0.6,8
128,1.99,33
129,2.7,27
130,2.28,32
131,2.6,28
132,0.31,44
133,2.1,34
134,2.54,22
135,2.54,22
136,1.68,36
137,2.08,33
138,-5.32,60
139,2.62,28
140,2.43,30
141,-0.71,48
142,2.56,29
143,2.56,28
144,2.99,20
145,2.78,26
146,2.97,21
147,2.94,22
148,2.14,22
149,2.5,29
150,2.99,20
151,2.88,24
152,1.8,16
153,0.2,16
154,-3.56,58
155,2.97,21
156,2.94,22
157,2.19,33
158,2.35,31
159,2.15,32
160,2.92,23
161,2.36,30
162,2.22,33
163,2.86,24
164,3.0,19
165,-1.0,4
166,3.0,18
167,2.57,21
168,2.99,20
169,2.73,26
170,2.92,23
171,2.6,17
172,2.75,26
173,1.04,40
174,2.52,23
175,0.88,40
176,-1.79,53
177,2.48,30
178,2.88,24
179,2.99,20
180,2.87,24
181,1.8,9
182,2.86,24
183,2.18,32
184,1.93,34
185,2.99,20
186,2.83,25
187,2.94,22
188,2.6,18
189,2.88,24
190,2.92,23
191,2.58,29
192,-4.29,60
193,-0.36,43
194,2.97,21
195,2.55,29
196,2.9,23
197,2.94,22
198,2.97,21
199,3.0,18
200,2.6,19
201,3.0,18
202,2.99,20
203,2.97,21
204,1.69,37
205,-0.48,46
206,2.56,29
207,2.94,22
208,3.0,18
209,2.83,25
210,2.49,30
211,2.95,22
212,1.31,37
213,2.44,25
214,2.95,22
215,2.95,22
216,2.94,22
217,2.0,35
218,3.0,19
219,1.72,36
220,2.99,20
221,3.0,19
222,2.9,23
223,2.7,27
224,2.2,15
225,2.97,21
226,2.79,25
227,-26.14,95
228,2.61,28
229,2.87,24
230,2.23,31
231,3.0,18
232,3.0,19
233,3.0,18
234,-8.81,64
235,2.6,17
236,2.56,29
237,2.44,31
238,2.66,27
239,2.9,23
240,2.79,26
241,3.0,19
242,3.0,19
243,2.6,16
244,-8.4,66
245,2.92,23
246,2.83,25
247,3.0,18
248,1.4,39
249,-270.58,251
250,-22.98,94
251,2.11,33
252,2.82,25
253,2.95,22
254,2.15,33
255,2.1,34
256,1.77,36
257,2.87,24
258,3.0,19
259,2.94,22
260,2.79,26
261,2.56,28
262,2.95,22
263,2.92,23
264,2.86,24
265,2.55,22
266,2.73,27
267,3.0,17
268,2.22,31
269,2.95,22
270,3.0,18
271,2.99,20
272,2.99,20
273,0.57,43
274,2.97,21
275,1.29,37
276,2.99,20
277,2.99,20
278,2.99,20
279,2.92,23
280,3.0,18
281,2.95,22
282,2.95,22
283,2.99,20
284,2.79,26
285,1.75,35
286,2.99,20
287,2.97,21
288,2.99,20
289,2.97,21
290,2.1,32
291,2.21,33
292,2.88,24
293,2.92,23
294,2.97,21
295,2.99,20
296,2.97,21
297,-0.73,49
298,1.17,41
299,3.0,19
300,-6.58,65
