,recom,times
0,0.0,0
1,-0.35,29
2,-1.0,9
3,-5.33,51
4,-0.6,12
5,-1.0,10
6,-1.0,11
7,-0.6,18
8,-1.52,35
9,-0.6,19
10,-4.24,47
11,-1.0,5
12,-1.0,18
13,-0.6,13
14,-1.0,12
15,-1.0,13
16,-1.0,10
17,-1.0,14
18,-0.6,17
19,-7.27,60
20,-5.44,62
21,-1.0,4
22,-0.6,9
23,-1.0,9
24,-0.6,9
25,-1.23,30
26,-1.33,39
27,-1.0,10
28,-2.88,44
29,-0.6,11
30,-1.0,9
31,-0.6,12
32,-3.76,49
33,-0.2,19
34,-0.39,25
35,-1.0,6
36,1.32,38
37,-1.0,10
38,-1.0,7
39,-0.81,25
40,0.07,24
41,-0.6,11
42,-1.0,9
43,-0.58,28
44,-0.3,23
45,-1.82,50
46,0.59,20
47,-1.01,39
48,0.67,41
49,-2.13,36
50,-1.17,33
51,0.36,42
52,0.05,29
53,-0.6,15
54,0.27,36
55,-3.26,56
56,0.26,43
57,-5.65,62
58,-0.2,16
59,-2.13,52
60,1.26,38
61,-0.6,10
62,-0.2,19
63,-0.02,44
64,1.83,35
65,-1.0,3
66,-1.0,12
67,0.93,40
68,-0.55,46
69,1.94,31
70,1.42,35
71,2.32,26
72,-8.45,68
73,-0.6,16
74,0.2,43
75,0.17,21
76,-0.6,10
77,1.06,39
78,2.02,34
79,-0.61,20
80,2.14,22
81,2.75,26
82,-1.0,4
83,-0.2,18
84,-0.6,10
85,0.71,39
86,2.5,29
87,1.19,38
88,-1.79,51
89,2.25,32
90,-0.08,45
91,-1.0,7
92,-1.0,5
93,2.7,27
94,1.15,38
95,2.49,30
96,1.32,38
97,2.23,32
98,2.57,28
99,-3.19,55
100,1.94,34
101,0.27,43
102,-2.53,36
103,1.73,32
104,2.88,24
105,1.2,39
106,-5.37,60
107,-0.2,12
108,2.32,31
109,2.77,26
110,2.39,30
111,2.91,23
112,2.39,30
113,2.48,24
114,2.42,25
115,0.17,43
116,1.44,38
117,2.44,30
118,1.6,37
119,-1.88,52
120,2.3,31
121,2.15,33
122,-1.65,51
123,0.74,40
124,1.28,36
125,2.65,28
126,-7.31,66
127,-0.61,48
128,1.53,37
129,2.19,33
130,2.25,32
131,2.41,25
132,-0.77,49
133,0.61,40
134,2.06,29
135,1.79,36
136,-1.54,52
137,-2.67,55
138,2.97,21
139,2.4,31
140,2.71,27
141,1.12,40
142,-1.54,51
143,-1.12,49
144,2.54,29
145,2.59,29
146,2.91,23
147,2.91,23
148,2.53,29
149,3.0,18
150,2.12,30
151,3.0,19
152,2.62,28
153,2.5,29
154,2.0,25
155,1.73,35
156,2.97,21
157,2.97,21
158,-0.6,16
159,2.8,25
160,2.91,23
161,2.99,20
162,2.99,20
163,-0.6,8
164,2.6,19
165,1.47,38
166,1.29,38
167,2.95,22
168,2.63,28
169,2.97,21
170,2.53,29
171,2.92,23
172,2.53,29
173,-0.21,20
174,3.0,18
175,2.94,22
176,0.63,43
177,0.37,42
178,3.0,19
179,2.62,28
180,2.29,32
181,2.36,26
182,2.97,21
183,2.95,22
184,2.81,25
185,2.65,28
186,-11.58,67
187,1.39,39
188,2.47,30
189,2.69,27
190,2.48,30
191,-0.63,21
192,3.0,19
193,2.39,25
194,0.41,43
195,2.92,23
196,2.88,24
197,2.62,28
198,1.73,36
199,2.6,19
200,0.52,23
201,2.92,23
202,2.99,20
203,2.47,30
204,2.76,26
205,2.4,31
206,2.71,27
207,2.46,24
208,2.66,27
209,2.94,22
210,0.4,44
211,2.52,29
212,3.0,18
213,2.94,22
214,2.92,23
215,0.92,41
216,3.0,18
217,2.85,24
218,2.81,25
219,2.73,27
220,2.6,17
221,2.99,20
222,2.86,24
223,2.73,27
224,2.54,29
225,1.88,35
226,1.13,41
227,3.0,19
228,2.99,20
229,2.97,21
230,2.6,18
231,2.99,20
232,0.4,17
233,0.56,41
234,2.94,22
235,3.0,18
236,2.83,25
237,2.92,23
238,1.07,40
239,3.0,18
240,2.54,22
241,2.74,26
242,2.92,23
243,2.52,30
244,2.95,22
245,2.37,31
246,2.21,32
247,2.62,28
248,3.0,19
249,2.59,29
250,-1.59,52
251,-1.44,50
252,2.5,29
253,2.99,20
254,-0.33,45
255,0.99,41
256,-4.72,57
257,2.95,22
258,2.6,18
259,2.59,20
260,-4.69,60
261,2.92,23
262,2.59,20
263,2.99,20
264,2.6,18
265,2.97,21
266,3.0,18
267,3.0,17
268,0.63,43
269,2.86,24
270,2.57,29
271,0.74,42
272,2.97,21
273,2.17,33
274,0.06,46
275,1.92,32
276,2.59,20
277,2.82,25
278,2.99,20
279,3.0,18
280,2.92,23
281,2.6,15
282,1.61,38
283,3.0,18
284,3.0,19
285,2.99,20
286,3.0,19
287,2.25,33
288,3.0,18
289,2.55,22
290,2.97,21
291,2.99,20
292,2.88,24
293,2.99,20
294,2.97,21
295,2.6,19
296,3.0,19
297,3.0,18
298,2.64,28
299,2.94,22
300,2.25,32
