,recom,times
0,0.0,0
1,-0.2,18
2,-1.1,23
3,-6.74,56
4,-3.37,48
5,-1.05,28
6,-2.48,50
7,-0.6,19
8,-1.0,10
9,-1.0,9
10,-6.39,59
11,-0.6,15
12,-1.0,5
13,-8.13,66
14,-1.0,9
15,1.65,24
16,-0.21,20
17,0.06,42
18,-0.81,25
19,-0.6,15
20,-0.72,29
21,-4.59,58
22,-1.0,13
23,-0.6,16
24,-1.0,11
25,-1.0,18
26,-2.37,53
27,-1.0,13
28,-0.2,18
29,-1.0,5
30,1.54,37
31,-0.6,18
32,1.78,28
33,-0.41,25
34,-0.3,23
35,-0.25,28
36,2.37,31
37,-4.09,59
38,-1.0,11
39,-2.67,54
40,-5.58,57
41,-0.6,16
42,-1.01,48
43,-3.01,55
44,-0.21,45
45,-0.13,44
46,-1.0,8
47,0.2,16
48,-0.6,16
49,-0.79,33
50,-1.0,2
51,-0.2,16
52,-0.61,20
53,-1.33,48
54,-2.2,52
55,-0.92,37
56,-1.0,4
57,2.4,30
58,-1.39,42
59,2.0,25
60,2.55,29
61,0.8,41
62,1.81,35
63,1.46,37
64,1.17,38
65,-0.47,46
66,0.2,17
67,1.82,35
68,-0.44,46
69,2.68,27
70,0.52,42
71,2.58,28
72,2.11,33
73,1.52,37
74,-1.0,6
75,-1.62,41
76,2.4,30
77,0.1,42
78,1.55,37
79,1.67,35
80,1.33,37
81,0.57,42
82,1.05,40
83,-8.14,68
84,0.53,29
85,0.38,43
86,0.48,43
87,2.47,30
88,1.57,34
89,0.11,23
90,1.91,34
91,1.83,35
92,-0.03,46
93,-0.2,10
94,1.88,35
95,2.34,26
96,2.71,27
97,1.04,40
98,0.04,44
99,1.69,35
100,2.37,31
101,2.18,32
102,-0.6,14
103,-0.05,31
104,2.0,34
105,1.11,39
106,0.56,41
107,1.85,35
108,1.92,34
109,-0.6,18
110,1.91,35
111,2.44,30
112,0.47,42
113,2.69,27
114,1.88,35
115,2.42,30
116,1.74,36
117,2.57,29
118,1.62,36
119,2.2,28
120,2.42,25
121,2.35,26
122,1.4,15
123,1.76,36
124,-0.23,21
125,-0.2,9
126,-9.4,62
127,1.62,36
128,2.94,22
129,2.2,19
130,0.5,42
131,0.09,43
132,1.82,32
133,2.79,25
134,2.29,27
135,2.85,24
136,0.12,23
137,2.88,24
138,2.97,21
139,1.2,39
140,1.43,39
141,2.52,23
142,-0.05,45
143,2.61,28
144,2.83,25
145,2.75,26
146,0.52,42
147,0.31,43
148,-0.1,45
149,2.81,25
150,2.9,23
151,2.92,23
152,1.68,36
153,2.66,28
154,2.69,27
155,1.74,35
156,2.6,16
157,1.21,37
158,2.19,28
159,2.9,23
160,2.4,30
161,2.7,27
162,2.97,21
163,2.83,25
164,1.93,35
165,2.92,23
166,-0.77,45
167,2.45,30
168,2.97,21
169,-2.9,38
170,2.42,30
171,1.74,36
172,3.0,18
173,2.86,24
174,1.24,40
175,-0.6,6
176,2.5,29
177,2.63,28
178,2.91,23
179,2.92,23
180,2.82,25
181,2.71,27
182,2.95,22
183,0.81,39
184,3.0,19
185,2.57,21
186,2.59,20
187,1.83,35
188,2.69,27
189,2.86,24
190,2.33,31
191,1.69,37
192,2.6,19
193,0.24,44
194,-0.6,5
195,2.94,22
196,2.58,29
197,2.32,31
198,1.98,35
199,1.53,38
200,2.95,22
201,2.32,27
202,2.56,28
203,3.0,18
204,2.11,34
205,2.71,27
206,2.83,25
207,2.41,30
208,2.95,22
209,2.95,22
210,2.25,32
211,2.94,22
212,2.77,26
213,2.87,24
214,2.99,20
215,2.75,26
216,2.29,31
217,0.31,43
218,2.94,22
219,2.92,23
220,3.0,19
221,2.59,29
222,2.97,21
223,2.99,20
224,2.81,25
225,2.87,24
226,2.59,20
227,2.87,24
228,3.0,18
229,0.58,43
230,2.6,18
231,2.55,22
232,2.49,30
233,2.81,25
234,2.52,23
235,2.94,22
236,2.22,32
237,2.78,26
238,2.88,24
239,2.94,22
240,2.9,23
241,2.57,21
242,1.33,38
243,2.4,30
244,2.67,27
245,2.81,25
246,2.14,22
247,2.92,23
248,3.0,19
249,2.42,31
250,2.43,30
251,2.79,26
252,2.78,26
253,2.99,20
254,2.88,24
255,2.66,28
256,2.99,20
257,2.95,22
258,0.68,42
259,-0.46,47
260,3.0,19
261,3.0,19
262,3.0,18
263,2.95,22
264,2.19,20
265,2.92,23
266,2.33,32
267,2.97,21
268,2.97,21
269,2.99,20
270,2.9,23
271,2.65,28
272,2.97,21
273,2.1,23
274,2.82,25
275,2.94,22
276,2.92,23
277,-9.35,70
278,2.95,22
279,2.73,27
280,2.99,20
281,2.99,20
282,2.72,27
283,2.92,23
284,2.88,24
285,2.17,33
286,2.59,20
287,2.88,24
288,2.88,24
289,2.2,33
290,-1.51,51
291,2.81,25
292,2.9,23
293,2.97,21
294,2.62,28
295,2.23,32
296,2.88,24
297,2.78,26
298,2.4,31
299,2.92,23
300,2.31,31
